7zip 25.01-1
aalib 1.4rc5-19
abseil-cpp 20250512.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.8-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
adwaita-qt6-git 1.4.1.r29.g0a77436-1
alsa-card-profiles 1:1.4.7-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-1
alsa-plugins 1:1.2.12-4
alsa-tools 1.2.14-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
android-tools 35.0.2-17
android-udev 20250525-1
angular-cli 20.1.6-1
aom 3.12.1-1
appstream 1.0.5-2
appstream-glib 0.8.3-2
aquamarine 0.9.2-1
arandr 0.1.11-4
archlinux-keyring 20250807.1-1
archlinux-wallpaper 1.6.1-7
argon2 20190702-6
asciidoctor 2.0.23-8
asciidoctor-pdf 2.3.19-4
asdf-vm 0.18.0-1
aspell 0.60.8.1-2
aspell-pt 20220621-2
at-spi2-core 2.56.4-1
atkmm 2.28.4-1
attr 2.5.2-1
atuin 18.8.0-1
audit 4.0.5-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
awesome-terminal-fonts 1.1.0-5
ayatana-ido 0.10.4-1
azcopy 10.29.2-1
azure-cli 2.75.0-1
babl 0.1.114-1
balena-etcher-bin 2.1.3-1
bandwhich 0.23.1-2
base 3-2
base-devel 1-2
bash 5.3.3-2
bat 0.25.0-4
bcprov 1.80-1
bind 9.20.11-1
binutils 2.45+r29+g2b2e51a31ec7-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-1
bluez 5.83-1
bluez-libs 5.83-1
bluez-obex 5.83-1
bluez-tools 0.2.0-6
bluez-utils 5.83-1
bolt 0.9.9-1
boost-libs 1.88.0-3
bottom 0.11.1-1
box2d 3.1.1-1
brave-bin 1:1.81.135-1
bridge-utils 1.7.1-2
brotli 1.1.0-3
btrfs-progs 6.16-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.115-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
catch2 3.9.1-1
cblas 3.12.1-2
ccid 1.6.2-1
cdparanoia 10.2-9
chafa 1.16.2-1
check 0.15.2-3
cifs-utils 7.4-1
cjson 1.7.18-1
clang 20.1.8-1
clojure 1.12.1.1561-1
clucene 2.3.3.4-16
cmake 4.0.3-1
cni-plugins 1.7.1-1
colord 1.4.8-1
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
comby-bin 1.8.1-3
compiler-rt 20.1.8-1
composefs 1.0.8-1
conntrack-tools 1.4.8-1
containerd 2.1.4-1
coreutils 9.7-1
cppdap 1.58.0-2
cracklib 2.10.3-1
crictl 1.33.0-1
cryptsetup 2.8.0-1
cuda 12.9.1-2
cups 2:2.4.12-2
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
cups-pk-helper 0.2.7-2
curl 8.15.0-1
cyme 2.2.4-1
cython 3.1.2-1
dav1d 1.5.1-1
db 6.2.32-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dconf 0.40.0-3
dconf-editor 45.0.1-3
ddcutil 2.2.1-1
debugedit 5.2-1
default-cursors 3-1
dejagnu 1.6.3-15
desktop-file-utils 0.28-1
device-mapper 2.03.34-1
difftastic 0.64.0-2
diffutils 3.12-2
discord 1:0.0.104-1
djvulibre 3.5.29-1
dkms 3.2.1-1
dmidecode 3.6-1
dnssec-anchors 20250524-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:28.3.3-1
docker-buildx 0.26.1-1
docker-compose 2.39.2-1
dog 0.1.0-5
dolphin-emu 1:2506a-1
dos2unix 7.5.2-2
dosfstools 4.2-5
double-conversion 3.3.1-1
downgrade 11.5.2-1
doxygen 1.14.0-1
duktape 2.7.0-7
dunst 1.12.2-1
dust 1.2.3-1
e2fsprogs 1.47.3-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2.1-1
egl-wayland 4:1.1.20-1
egl-x11 1.0.3-1
eglexternalplatform 1.2.1-1
electron27 27.3.11-10
ell 0.79-1
enchant 2.8.12-1
enet 1.3.18-1
eog 47.0-3
esptool 5.0.2-1
ethtool 1:6.11-1
evince 48.1-1
evtest 1.35-2
exempi 2.6.6-2
exfatprogs 1.2.9-1
exiv2 0.28.5-1
exo 4.20.0-2
expat 2.7.1-1
expect 5.45.4-5
extra-cmake-modules 6.17.0-1
eza 0.23.0-1
f2fs-tools 1.16.0-3
fakeroot 1.37.1.2-1
fastfetch 2.50.2-1
fclones 0.35.0-1
fd 10.2.0-1
feh 3.10.3-1
ffmpeg 2:7.1.1-5
ffmpegthumbnailer 2.2.3-3
fftw 3.3.10-7
file 5.46-5
file-roller 44.5-1
filesystem 2025.05.03-1
findutils 4.10.0-3
firefox 141.0.3-1
flac 1.5.0-1
flameshot 12.1.0-6
flatpak 1:1.16.1-1
flex 2.6.4-5
fmt 11.2.0-1
fontconfig 2:2.17.1-1
fontforge 20230101-6
freeglut 3.6.0-2
freerdp 2:3.16.0-1
freerdp2 2.11.7-3
freetype2 2.13.3-3
fribidi 1.0.16-2
fuse-common 3.17.1-1
fuse2 2.9.9-5
fuse3 3.17.1-1
fx 39.0.1-1
fzf 0.65.1-1
garcon 4.20.0-2
gawk 5.3.2-1
gc 8.2.8-2
gcc 15.2.1+r22+gc4e96a094636-1
gcc-ada 15.2.1+r22+gc4e96a094636-1
gcc-d 15.2.1+r22+gc4e96a094636-1
gcc-libs 15.2.1+r22+gc4e96a094636-1
gcc13 13.4.1+r80+gd6ebfe4-1
gcc13-libs 13.4.1+r80+gd6ebfe4-1
gcc14 14.3.1+r25+g42e99e057bd7-1
gcc14-libs 14.3.1+r25+g42e99e057bd7-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-8
gdbm 1.25-1
gdk-pixbuf2 2.42.12-2
gdm 48.0-2
gegl 0.4.62-1
gendesk 1.0.10-1
geoclue 2.7.2-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.26-1
ghc-libs 9.4.8-1
ghostscript 10.05.1-2
ghostty 1.1.3-1
ghostty-shell-integration 1.1.3-1
ghostty-terminfo 1.1.3-1
giflib 5.2.2-2
gimp 3.0.4-3
git 2.50.1-3
git-credential-gopass 1.15.16-1
git-delta 0.18.2-4
gitg 2:44-9
github-cli 2.76.2-1
gitui 0.27.0-2
gjs 2:1.84.2-1
glab 1.67.0-1
glances 4.3.3-1
glew 2.2.0-7
glfw 1:3.4-1
glib-networking 1:2.80.1-1
glib2 2.84.4-2
glib2-devel 2.84.4-2
glib2-docs 2.84.4-2
glibc 2.42+r17+gd7274d718e6f-1
glibmm 2.66.8-1
glibmm-2.68 2.84.0-1
globalprotect-openconnect 1.4.9-2
glslang 1:1.4.321.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-backgrounds 48.2.1-1
gnome-bluetooth-3.0 47.1-2
gnome-calculator 48.1-2
gnome-color-manager 3.36.2-1
gnome-control-center 48.4-1
gnome-desktop 1:44.3-1
gnome-desktop-4 1:44.3-1
gnome-desktop-common 1:44.3-1
gnome-font-viewer 48.0-1
gnome-keybindings 48.4-1
gnome-keyring 1:48.0-1
gnome-mimeapps 0.1-1
gnome-online-accounts 3.54.5-1
gnome-session 48.0-1
gnome-settings-daemon 48.1-1
gnome-shell 1:48.4-1
gnome-shell-extension-appindicator 1:60-2
gnome-shell-extensions 48.3-2
gnome-sound-recorder 42.0-4
gnome-terminal 3.56.2-2
gnome-themes-extra 3.28+r6+g45b1d457-2
gnome-tweaks 46.1-2
gnu-netcat 0.7.1-11
gnulib-l10n 20241231-1
gnupg 2.4.8-1
gnupg-pkcs11-scd 0.11.0-1
gnustep-base 1.31.1-1
gnutls 3.8.10-1
go 2:1.24.6-1
gobject-introspection 1.84.0-2
gobject-introspection-runtime 1.84.0-2
google-chrome 139.0.7258.127-1
gopass 1.15.16-1
gparted 1.7.0-1
gperftools 2.17-1
gpgme 2.0.0-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.26.1-2
graphene 1.10.8-2
graphicsmagick 1.3.45-5
